lr,option,dropout_prob,epochs,just_simcse,use_simcse,tau,paraphrase_detection_acccuracy,sentiment_classification_accuracy,semantic_textual_similarity_correlation
1e-05,finetune,0.3,0,False,True,0.05,0.3801701959232139,0.1444141689373297,-0.0085460644147441
1e-05,finetune,0.3,3,F,F,0.05,0.5270136552543043,0.3496821071752952,0.2864124438280266
1e-05,finetune,0.3,3,F,T,0.05,0.535523451415001,0.4069028156221617,0.3166226466748687
1e-05,finetune,0.3,3,F,T,1.0,0.5528893726499109,0.410535876475931,0.3071898876094856
1e-05,finetune,0.3,3,T,T,0.05,0.3777458935285969,0.1498637602179836,0.0038849286281841
1e-05,finetune,0.3,3,F,T,0.1,0.5653572135365129,0.4359673024523161,0.2931324210399796
1e-05,finetune,0.3,10,F,T,0.3,0.6673263407876509,0.4732061762034514,0.2971149053191257
1e-05,finetune,0.3,1,F,T,0.1,0.3777458935285969,0.1444141689373297,-0.0218448737091735
8e-06,finetune,0.25,3,F,T,0.1,0.5575400752028498,0.405086285195277,0.2814108324163076
8e-06,finetune,0.25,3,F,T,0.5,0.564268751236889,0.40054495912806537,0.28075770892510543
