	Unnamed: 0	id	sentence1	sentence2	similarity
0	8615	6d0ec4e8a34ac432e1c1699a0	13 killed in Afgan terror attack	6 killed in Afghan capital mosque attack	2.0
1	7087	9aaabdce8cfff4c060b6f525c	China to resume US investment talks	China and Taiwan hold historic talks	0.8
2	8201	a70c8ad3f82ac2967f78fe617	But in the first 30 seconds after Young entered the ring, the family knew it was an uneven match, Meyers said.	But in the first 30 seconds of the bout, family members knew it was an uneven match, Jodie Meyers, Stacy Young's sister, said.	4.2
3	7821	a89ed469c8f2f81313d190e66	A yellow vested person is doing road work.	A person is doing very well on their skateboard.	0.2
4	201	9ee4d44188c33f4e7d899e690	Someone is slicing tortila's.	Someone is riding a horse.	0.0
5	3538	252ebec695ca7efc2d2186f8f	capital offenses in saudi arabia include rape, murder, apostasy, armed robbery and drug trafficking. 	capital offences in iran include murder, rape, armed robbery, serious drug trafficking and adultery.	3.2
6	7936	f4c5e3b0acd70cbfa99b58ac2	No it does not affect your ratings.	No it is not.	0.0
7	4396	e62472eeda1415a3a6cca9e9a	Hundreds of Bangladesh clothes factory workers ill	Hundreds fall sick in Bangladesh factory	4.4
8	6453	55c4f22268e4df59ad90b43c0	"In standard English, I think ""don't got"" has the same register as ""ain't""."	I'd say the expression I don't got... is generally rare in spoken AmE.	2.2
9	1388	9753582bf8f5894a65f74ab24	A young girl wearing a bike helmet with a bicycle in the background.	A women holds a small dog on a leash with chairs in the background.	0.0
10	7079	c1d4c321df9c34dc9087956f9	Iraq Releases Suspected Hezbollah Operative Wanted By U.S.	Iraq Said to Release Hezbollah Operative	3.2
11	8546	d0e17fa72682baae10bd9271e	Red-shirt leader calls not to oppose army	Oil rig spat: Beijing not to send army	0.6
12	3598	1b745f7ac85a2f7828a4f0c7f	the russian government strongly opposes u.s. plans to install antimissile defenses in europe and dismisses u.s. assertions that the interceptors are needed to defend against threats from iran. 	after talks at nato headquarters baluyevsky repeated russia's opposition to u.s. plans to install antimissile defenses in europe and dismissed u.s. assertions that the interceptors were needed to defend against potential threats from iran.	3.2
13	5664	3b80f4d4302d32366c50a41c6	China on high alert for typhoon Kalmaegi	China issues yellow alert for typhoon Kalmaegi	4.0
14	3146	f497d4e8209b315d273540296	Kroger Co., which owns Ralphs, and Albertsons Inc. bargain jointly with Safeway and locked out their union workers the next day.	In a show of corporate solidarity, Kroger Co., which owns Ralphs, and Albertson Inc. locked out their workers the next morning.	3.8
15	3132	72614c3590fe5c74089ef2269	"Sobig.F spreads when unsuspecting computer users open file attachments in emails that contain such familiar headings as ""Thank You!,"" ""Re: Details"" or ""Re: That Movie."""	"The virus spreads when unsuspecting computer users open file attachments in emails that contain familiar headings like ""Thank You!"" and ""Re: Details""."	4.0
16	5012	d509c59ebeb8297b8c23d65df	Iranian president makes debut on world stage	Iran presidential candidate says western sanctions should be broken	0.6
17	7811	9a1b95e6af0cddccb90f5f276	A kid is talking in class.	A girl is going to class.	1.8
18	2465	57faf6247b1b6026f59ca71f0	Microsoft acquired Virtual PC when it bought the assets of Connectix earlier this year.	Microsoft acquired Virtual PC from its developer, Connectix, earlier this year.	4.4
19	6611	6597fc84528eea44f45c16fed	I can imagine a scenario where a single all powerful god create the universe that we know of.	It is the same idea as what Aristotle called the unmoved mover.	0.8
