lr,option,dropout_prob,epochs,paraphrase_detection_acccuracy,sentiment_classification_accuracy,semantic_textual_similarity_correlation
1e-05,finetune,0.3,1,0.3764100534336038,0.4468664850136239,-0.0546978561233425
1e-05,finetune,0.3,1,0.3764100534336038,0.4468664850136239,-0.0201543350758604
1e-05,finetune,0.3,2,0.3753215911339798,0.1998183469573115,-0.0279895308570054
1e-05,finetune,0.3,1,0.3754700178112012,0.145322434150772,-0.0293946443741678
1e-05,finetune,0.3,1,0.3754700178112012,0.142597638510445,-0.0081245654169511
8e-06,finetune,0.3,5,0.3754205422521274,0.4704813805631244,0.3299102387850881
8e-06,finetune,0.3,5,0.3754205422521274,0.4704813805631244,0.3299102387850881
1e-05,finetune,0.3,2,0.3773006134969325,0.1507720254314259,-0.0143782477431046
1e-05,finetune,0.3,2,0.3768553334652681,0.145322434150772,-0.0183068025150987
1e-05,finetune,0.3,2,0.3768553334652681,0.145322434150772,-0.0183068025150987
1e-05,finetune,0.3,2,0.3768553334652681,0.145322434150772,-0.0183068025150987
1e-05,finetune,0.3,3,0.3777458935285969,0.1498637602179836,0.0038849286281841
1e-05,finetune,0.3,2,0.375272115574906,0.2243415077202543,-0.0387487047110451
1e-05,finetune,0.3,3,0.3777458935285969,0.1498637602179836,0.0038849286281841
1e-05,finetune,0.3,3,0.3777458935285969,0.1498637602179836,0.0038849286281841
1e-05,finetune,0.3,2,0.3770037601424896,0.1989100817438692,-0.0406883887924213
1e-05,finetune,0.3,3,0.3777458935285969,0.1498637602179836,0.0038849286281841
1e-05,finetune,0.3,3,0.3777458935285969,0.14986376021798364,0.003884928628184141
